,pais,ano,quant_kg,valor_us$,tipo
479,Ilha de Man,2012,0,0,Vinhos de mesa
480,Ilhas Virgens,2012,0,0,Vinhos de mesa
481,India,2012,0,0,Vinhos de mesa
482,Indonésia,2012,0,0,Vinhos de mesa
483,Irã,2012,0,0,Vinhos de mesa
484,Iraque,2012,0,0,Vinhos de mesa
485,Irlanda,2012,0,0,Vinhos de mesa
486,Itália,2012,792,5622,Vinhos de mesa
487,Jamaica,2012,0,0,Vinhos de mesa
488,Japão,2012,29281,116961,Vinhos de mesa
489,Jordânia,2012,0,0,Vinhos de mesa
490,Letônia,2012,0,0,Vinhos de mesa
491,Líbano,2012,0,0,Vinhos de mesa
492,Libéria,2012,0,0,Vinhos de mesa
493,Luxemburgo,2012,2444,16547,Vinhos de mesa
494,Macau,2012,0,0,Vinhos de mesa
495,Malásia,2012,0,0,Vinhos de mesa
496,Malavi,2012,0,0,Vinhos de mesa
497,Malta,2012,0,0,Vinhos de mesa
498,"Marshall, Ilhas",2012,0,0,Vinhos de mesa
499,Martinica,2012,0,0,Vinhos de mesa
500,Mauritânia,2012,0,0,Vinhos de mesa
501,México,2012,0,0,Vinhos de mesa
502,Moçambique,2012,0,0,Vinhos de mesa
503,Montenegro,2012,0,0,Vinhos de mesa
504,Namíbia,2012,0,0,Vinhos de mesa
505,Nicarágua,2012,0,0,Vinhos de mesa
506,Nigéria,2012,6449,10196,Vinhos de mesa
507,Noruega,2012,5104,31515,Vinhos de mesa
508,Nova Caledônia,2012,0,0,Vinhos de mesa
509,Nova Zelândia,2012,2364,8817,Vinhos de mesa
510,Omã,2012,0,0,Vinhos de mesa
511,Países Baixos,2012,134879,539641,Vinhos de mesa
512,Palau,2012,0,0,Vinhos de mesa
513,Panamá,2012,39,2262,Vinhos de mesa
514,Paraguai,2012,354824,428279,Vinhos de mesa
515,Peru,2012,0,0,Vinhos de mesa
516,Pitcairn,2012,0,0,Vinhos de mesa
517,Polônia,2012,21663,89158,Vinhos de mesa
518,Porto Rico,2012,0,0,Vinhos de mesa
519,Portugal,2012,47172,47022,Vinhos de mesa
520,Quênia,2012,94,458,Vinhos de mesa
521,Reino Unido,2012,82937,334856,Vinhos de mesa
522,República Dominicana,2012,0,0,Vinhos de mesa
523,Rússia,2012,4528176,2103968,Vinhos de mesa
524,São Cristóvão e Névis,2012,0,0,Vinhos de mesa
525,São Tomé e Príncipe,2012,0,0,Vinhos de mesa
526,São Vicente e Granadinas,2012,0,0,Vinhos de mesa
527,Senegal,2012,0,0,Vinhos de mesa
528,Serra Leoa,2012,0,0,Vinhos de mesa
529,Singapura,2012,0,0,Vinhos de mesa
530,Suazilândia,2012,0,0,Vinhos de mesa
531,Suécia,2012,2705,17280,Vinhos de mesa
532,Suíça,2012,4014,47240,Vinhos de mesa
533,Suriname,2012,396,1288,Vinhos de mesa
534,Tailândia,2012,0,0,Vinhos de mesa
535,Taiwan (Formosa),2012,0,0,Vinhos de mesa
536,Tanzânia,2012,0,0,Vinhos de mesa
